tahun,bulan,curah_hujan,banyak_hari_hujan
2013,01,"621,9",23
2013,02,"146,6",20
2013,03,"184,4",16
2013,04,"204,3",18
2013,05,101,12
2013,06,"256,7",19
2013,07,"256,7",19
2013,08,"61,4",8
2013,09,"49,5",5
2013,10,"110,1",9
2013,11,"196,6",14
2013,12,"338,9",23
