tahun,nama_provinsi,nama_kabupaten_kota,nama_kecamatan,nama_kelurahan,usia,jenis_kelamin,jumlah_penduduk,
2019,DKI Jakarta,JAKARTA PUSAT,KEMAYORAN,KEBON KOSONG,0-4,Laki-Laki,1469,
2019,DKI Jakarta,JAKARTA PUSAT,KEMAYORAN,HARAPAN MULIA,0-4,Laki-Laki,1120,
2019,DKI Jakarta,JAKARTA PUSAT,KEMAYORAN,SERDANG,0-4,Laki-Laki,1383,
2019,DKI Jakarta,JAKARTA PUSAT,KEMAYORAN,GUNUNG SAHARI SELATAN,0-4,Laki-Laki,816,
2019,DKI Jakarta,JAKARTA PUSAT,KEMAYORAN,CEMPAKA BARU,0-4,Laki-Laki,1599,
2019,DKI Jakarta,JAKARTA PUSAT,KEMAYORAN,SUMUR BATU,0-4,Laki-Laki,1104,
2019,DKI Jakarta,JAKARTA PUSAT,KEMAYORAN,UTAN PANJANG,0-4,Laki-Laki,1549,
2019,DKI Jakarta,JAKARTA PUSAT,S E N E N,SENEN,0-4,Laki-Laki,287,
2019,DKI Jakarta,JAKARTA PUSAT,S E N E N,KENARI,0-4,Laki-Laki,383,
2019,DKI Jakarta,JAKARTA PUSAT,S E N E N,PASEBAN,0-4,Laki-Laki,1130,
2019,DKI Jakarta,JAKARTA PUSAT,S E N E N,KRAMAT,0-4,Laki-Laki,1298,
2019,DKI Jakarta,JAKARTA PUSAT,S E N E N,KWITANG,0-4,Laki-Laki,714,
2019,DKI Jakarta,JAKARTA PUSAT,S E N E N,BUNGUR,0-4,Laki-Laki,871,
2019,DKI Jakarta,JAKARTA PUSAT,CEMPAKA PUTIH,CEMPAKA PUTIH TIMUR,0-4,Laki-Laki,945,
2019,DKI Jakarta,JAKARTA PUSAT,CEMPAKA PUTIH,CEMPAKA PUTIH BARAT,0-4,Laki-Laki,1653,
2019,DKI Jakarta,JAKARTA PUSAT,CEMPAKA PUTIH,RAWASARI,0-4,Laki-Laki,966,
2019,DKI Jakarta,JAKARTA PUSAT,MENTENG,MENTENG,0-4,Laki-Laki,1096,
2019,DKI Jakarta,JAKARTA PUSAT,MENTENG,PEGANGSAAN,0-4,Laki-Laki,1073,
2019,DKI Jakarta,JAKARTA PUSAT,MENTENG,CIKINI,0-4,Laki-Laki,366,
2019,DKI Jakarta,JAKARTA PUSAT,MENTENG,GONDANGDIA,0-4,Laki-Laki,138,
2019,DKI Jakarta,JAKARTA PUSAT,MENTENG,KEBON SIRIH,0-4,Laki-Laki,551,
2019,DKI Jakarta,JAKARTA PUSAT,TANAH ABANG,GELORA,0-4,Laki-Laki,126,
2019,DKI Jakarta,JAKARTA PUSAT,TANAH ABANG,BENDUNGAN HILIR,0-4,Laki-Laki,936,
2019,DKI Jakarta,JAKARTA PUSAT,TANAH ABANG,KARET TENGSIN,0-4,Laki-Laki,927,
2019,DKI Jakarta,JAKARTA PUSAT,TANAH ABANG,PETAMBURAN,0-4,Laki-Laki,1728,
2019,DKI Jakarta,JAKARTA PUSAT,TANAH ABANG,KEBON MELATI,0-4,Laki-Laki,1648,
2019,DKI Jakarta,JAKARTA PUSAT,TANAH ABANG,KEBON KACANG,0-4,Laki-Laki,1015,
2019,DKI Jakarta,JAKARTA PUSAT,TANAH ABANG,KAMPUNG BALI,0-4,Laki-Laki,482,
2019,DKI Jakarta,JAKARTA PUSAT,JOHAR BARU,JOHAR BARU,0-4,Laki-Laki,1707,
2019,DKI Jakarta,JAKARTA PUSAT,JOHAR BARU,KAMPUNG RAWA,0-4,Laki-Laki,1060,
2019,DKI Jakarta,JAKARTA PUSAT,JOHAR BARU,GALUR,0-4,Laki-Laki,906,
2019,DKI Jakarta,JAKARTA PUSAT,JOHAR BARU,TANAH TINGGI,0-4,Laki-Laki,1853,
2019,DKI Jakarta,JAKARTA UTARA,PENJARINGAN,PENJARINGAN,0-4,Laki-Laki,4254,
2019,DKI Jakarta,JAKARTA UTARA,PENJARINGAN,KAMAL MUARA,0-4,Laki-Laki,644,
2019,DKI Jakarta,JAKARTA UTARA,PENJARINGAN,KAPUK MUARA,0-4,Laki-Laki,1582,
2019,DKI Jakarta,JAKARTA UTARA,PENJARINGAN,PEJAGALAN,0-4,Laki-Laki,3083,
2019,DKI Jakarta,JAKARTA UTARA,PENJARINGAN,PLUIT,0-4,Laki-Laki,1901,
2019,DKI Jakarta,JAKARTA UTARA,TANJUNG PRIOK,TANJUNG PRIOK,0-4,Laki-Laki,1672,
2019,DKI Jakarta,JAKARTA UTARA,TANJUNG PRIOK,SUNTER JAYA,0-4,Laki-Laki,3111,
2019,DKI Jakarta,JAKARTA UTARA,TANJUNG PRIOK,PAPANGGO,0-4,Laki-Laki,2026,
2019,DKI Jakarta,JAKARTA UTARA,TANJUNG PRIOK,SUNGAI BAMBU,0-4,Laki-Laki,1543,
2019,DKI Jakarta,JAKARTA UTARA,TANJUNG PRIOK,KEBON BAWANG,0-4,Laki-Laki,2675,
2019,DKI Jakarta,JAKARTA UTARA,TANJUNG PRIOK,SUNTER AGUNG,0-4,Laki-Laki,2902,
2019,DKI Jakarta,JAKARTA UTARA,TANJUNG PRIOK,WARAKAS,0-4,Laki-Laki,2322,
2019,DKI Jakarta,JAKARTA UTARA,KOJA,KOJA,0-4,Laki-Laki,1518,
2019,DKI Jakarta,JAKARTA UTARA,KOJA,TUGU UTARA,0-4,Laki-Laki,3936,
2019,DKI Jakarta,JAKARTA UTARA,KOJA,LAGOA,0-4,Laki-Laki,3348,
2019,DKI Jakarta,JAKARTA UTARA,KOJA,RAWA BADAK UTARA,0-4,Laki-Laki,1854,
2019,DKI Jakarta,JAKARTA UTARA,KOJA,TUGU SELATAN,0-4,Laki-Laki,2305,
2019,DKI Jakarta,JAKARTA UTARA,KOJA,RAWA BADAK SELATAN,0-4,Laki-Laki,2482,
2019,DKI Jakarta,JAKARTA UTARA,CILINCING,CILINCING,0-4,Laki-Laki,2529,
2019,DKI Jakarta,JAKARTA UTARA,CILINCING,SUKAPURA,0-4,Laki-Laki,2939,
2019,DKI Jakarta,JAKARTA UTARA,CILINCING,MARUNDA,0-4,Laki-Laki,1693,
2019,DKI Jakarta,JAKARTA UTARA,CILINCING,KALIBARU,0-4,Laki-Laki,3919,
2019,DKI Jakarta,JAKARTA UTARA,CILINCING,SEMPER TIMUR,0-4,Laki-Laki,1934,
2019,DKI Jakarta,JAKARTA UTARA,CILINCING,ROROTAN,0-4,Laki-Laki,2427,
2019,DKI Jakarta,JAKARTA UTARA,CILINCING,SEMPER BARAT,0-4,Laki-Laki,3712,
2019,DKI Jakarta,JAKARTA UTARA,PADEMANGAN,PADEMANGAN TIMUR,0-4,Laki-Laki,1585,
2019,DKI Jakarta,JAKARTA UTARA,PADEMANGAN,PADEMANGAN BARAT,0-4,Laki-Laki,3579,
2019,DKI Jakarta,JAKARTA UTARA,PADEMANGAN,ANCOL,0-4,Laki-Laki,1101,
2019,DKI Jakarta,JAKARTA UTARA,KELAPA GADING,KELAPA GADING TIMUR,0-4,Laki-Laki,1273,
2019,DKI Jakarta,JAKARTA UTARA,KELAPA GADING,PEGANGSAAN DUA,0-4,Laki-Laki,2101,
2019,DKI Jakarta,JAKARTA UTARA,KELAPA GADING,KELAPA GADING BARAT,0-4,Laki-Laki,1357,
2019,DKI Jakarta,JAKARTA BARAT,CENGKARENG,CENGKARENG BARAT,0-4,Laki-Laki,2957,
2019,DKI Jakarta,JAKARTA BARAT,CENGKARENG,DURI KOSAMBI,0-4,Laki-Laki,3967,
2019,DKI Jakarta,JAKARTA BARAT,CENGKARENG,RAWA BUAYA,0-4,Laki-Laki,3254,
2019,DKI Jakarta,JAKARTA BARAT,CENGKARENG,KEDAUNG KALI ANGKE,0-4,Laki-Laki,1636,
2019,DKI Jakarta,JAKARTA BARAT,CENGKARENG,KAPUK,0-4,Laki-Laki,6973,
2019,DKI Jakarta,JAKARTA BARAT,CENGKARENG,CENGKARENG TIMUR,0-4,Laki-Laki,4126,
2019,DKI Jakarta,JAKARTA BARAT,GROGOL PETAMBURAN,GROGOL,0-4,Laki-Laki,627,
2019,DKI Jakarta,JAKARTA BARAT,GROGOL PETAMBURAN,TANJUNG DUREN UTARA,0-4,Laki-Laki,639,
2019,DKI Jakarta,JAKARTA BARAT,GROGOL PETAMBURAN,TOMANG,0-4,Laki-Laki,1227,
2019,DKI Jakarta,JAKARTA BARAT,GROGOL PETAMBURAN,JELAMBAR,0-4,Laki-Laki,1103,
2019,DKI Jakarta,JAKARTA BARAT,GROGOL PETAMBURAN,TANJUNG DUREN SELATAN,0-4,Laki-Laki,1005,
2019,DKI Jakarta,JAKARTA BARAT,GROGOL PETAMBURAN,JELAMBAR BARU,0-4,Laki-Laki,1504,
2019,DKI Jakarta,JAKARTA BARAT,GROGOL PETAMBURAN,WIJAYA KUSUMA,0-4,Laki-Laki,1758,
2019,DKI Jakarta,JAKARTA BARAT,TAMAN SARI,TAMAN SARI,0-4,Laki-Laki,464,
2019,DKI Jakarta,JAKARTA BARAT,TAMAN SARI,KRUKUT,0-4,Laki-Laki,830,
2019,DKI Jakarta,JAKARTA BARAT,TAMAN SARI,MAPHAR,0-4,Laki-Laki,627,
2019,DKI Jakarta,JAKARTA BARAT,TAMAN SARI,TANGKI,0-4,Laki-Laki,425,
2019,DKI Jakarta,JAKARTA BARAT,TAMAN SARI,MANGGA BESAR,0-4,Laki-Laki,276,
2019,DKI Jakarta,JAKARTA BARAT,TAMAN SARI,KEAGUNGAN,0-4,Laki-Laki,764,
2019,DKI Jakarta,JAKARTA BARAT,TAMAN SARI,GLODOK,0-4,Laki-Laki,219,
2019,DKI Jakarta,JAKARTA BARAT,TAMAN SARI,PINANGSIA,0-4,Laki-Laki,406,
2019,DKI Jakarta,JAKARTA BARAT,TAMBORA,TAMBORA,0-4,Laki-Laki,410,
2019,DKI Jakarta,JAKARTA BARAT,TAMBORA,KALI ANYAR,0-4,Laki-Laki,1147,
2019,DKI Jakarta,JAKARTA BARAT,TAMBORA,DURI UTARA,0-4,Laki-Laki,799,
2019,DKI Jakarta,JAKARTA BARAT,TAMBORA,TANAH SEREAL,0-4,Laki-Laki,1134,
2019,DKI Jakarta,JAKARTA BARAT,TAMBORA,KRENDANG,0-4,Laki-Laki,915,
2019,DKI Jakarta,JAKARTA BARAT,TAMBORA,JEMBATAN BESI,0-4,Laki-Laki,1456,
2019,DKI Jakarta,JAKARTA BARAT,TAMBORA,ANGKE,0-4,Laki-Laki,1290,
2019,DKI Jakarta,JAKARTA BARAT,TAMBORA,JEMBATAN LIMA,0-4,Laki-Laki,877,
2019,DKI Jakarta,JAKARTA BARAT,TAMBORA,PEKOJAN,0-4,Laki-Laki,903,
2019,DKI Jakarta,JAKARTA BARAT,TAMBORA,ROA MALAKA,0-4,Laki-Laki,97,
2019,DKI Jakarta,JAKARTA BARAT,TAMBORA,DURI SELATAN,0-4,Laki-Laki,540,
2019,DKI Jakarta,JAKARTA BARAT,KEBON JERUK,KEBON JERUK,0-4,Laki-Laki,2627,
2019,DKI Jakarta,JAKARTA BARAT,KEBON JERUK,SUKABUMI UTARA,0-4,Laki-Laki,2038,
2019,DKI Jakarta,JAKARTA BARAT,KEBON JERUK,SUKABUMI SELATAN,0-4,Laki-Laki,2001,
2019,DKI Jakarta,JAKARTA BARAT,KEBON JERUK,KELAPA DUA,0-4,Laki-Laki,1070,
2019,DKI Jakarta,JAKARTA BARAT,KEBON JERUK,DURI KEPA,0-4,Laki-Laki,2603,
2019,DKI Jakarta,JAKARTA BARAT,KEBON JERUK,KEDOYA UTARA,0-4,Laki-Laki,2029,
2019,DKI Jakarta,JAKARTA BARAT,KEBON JERUK,KEDOYA SELATAN,0-4,Laki-Laki,1554,
2019,DKI Jakarta,JAKARTA BARAT,KALI DERES,KALIDERES,0-4,Laki-Laki,3577,
2019,DKI Jakarta,JAKARTA BARAT,KALI DERES,SEMANAN,0-4,Laki-Laki,3763,
2019,DKI Jakarta,JAKARTA BARAT,KALI DERES,TEGAL ALUR,0-4,Laki-Laki,4252,
2019,DKI Jakarta,JAKARTA BARAT,KALI DERES,KAMAL,0-4,Laki-Laki,2824,
2019,DKI Jakarta,JAKARTA BARAT,KALI DERES,PEGADUNGAN,0-4,Laki-Laki,3554,
2019,DKI Jakarta,JAKARTA BARAT,PAL MERAH,PALMERAH,0-4,Laki-Laki,2924,
2019,DKI Jakarta,JAKARTA BARAT,PAL MERAH,SLIPI,0-4,Laki-Laki,738,
2019,DKI Jakarta,JAKARTA BARAT,PAL MERAH,KOTA BAMBU UTARA,0-4,Laki-Laki,1295,
2019,DKI Jakarta,JAKARTA BARAT,PAL MERAH,JATIPULO,0-4,Laki-Laki,1402,
2019,DKI Jakarta,JAKARTA BARAT,PAL MERAH,KEMANGGISAN,0-4,Laki-Laki,1402,
2019,DKI Jakarta,JAKARTA BARAT,PAL MERAH,KOTA BAMBU SELATAN,0-4,Laki-Laki,1088,
2019,DKI Jakarta,JAKARTA BARAT,KEMBANGAN,KEMBANGAN UTARA,0-4,Laki-Laki,2710,
2019,DKI Jakarta,JAKARTA BARAT,KEMBANGAN,MERUYA UTARA,0-4,Laki-Laki,2108,
2019,DKI Jakarta,JAKARTA BARAT,KEMBANGAN,MERUYA SELATAN,0-4,Laki-Laki,1609,
2019,DKI Jakarta,JAKARTA BARAT,KEMBANGAN,SRENGSENG,0-4,Laki-Laki,2218,
2019,DKI Jakarta,JAKARTA BARAT,KEMBANGAN,JOGLO,0-4,Laki-Laki,1889,
2019,DKI Jakarta,JAKARTA BARAT,KEMBANGAN,KEMBANGAN SELATAN,0-4,Laki-Laki,1258,
2019,DKI Jakarta,JAKARTA SELATAN,TEBET,TEBET TIMUR,0-4,Laki-Laki,692,
2019,DKI Jakarta,JAKARTA SELATAN,TEBET,TEBET BARAT,0-4,Laki-Laki,815,
2019,DKI Jakarta,JAKARTA SELATAN,TEBET,MENTENG DALAM,0-4,Laki-Laki,1588,
2019,DKI Jakarta,JAKARTA SELATAN,TEBET,KEBON BARU,0-4,Laki-Laki,1637,
2019,DKI Jakarta,JAKARTA SELATAN,TEBET,BUKIT DURI,0-4,Laki-Laki,1569,
2019,DKI Jakarta,JAKARTA SELATAN,TEBET,MANGGARAI SELATAN,0-4,Laki-Laki,1015,
2019,DKI Jakarta,JAKARTA SELATAN,TEBET,MANGGARAI,0-4,Laki-Laki,1236,
2019,DKI Jakarta,JAKARTA SELATAN,SETIA BUDI,SETIA BUDI,0-4,Laki-Laki,114,
2019,DKI Jakarta,JAKARTA SELATAN,SETIA BUDI,KARET SEMANGGI,0-4,Laki-Laki,125,
2019,DKI Jakarta,JAKARTA SELATAN,SETIA BUDI,KARET KUNINGAN,0-4,Laki-Laki,660,
2019,DKI Jakarta,JAKARTA SELATAN,SETIA BUDI,KARET,0-4,Laki-Laki,371,
2019,DKI Jakarta,JAKARTA SELATAN,SETIA BUDI,MENTENG ATAS,0-4,Laki-Laki,1226,
2019,DKI Jakarta,JAKARTA SELATAN,SETIA BUDI,PASAR MANGGIS,0-4,Laki-Laki,1189,
2019,DKI Jakarta,JAKARTA SELATAN,SETIA BUDI,GUNTUR,0-4,Laki-Laki,107,
2019,DKI Jakarta,JAKARTA SELATAN,SETIA BUDI,KUNINGAN TIMUR,0-4,Laki-Laki,233,
2019,DKI Jakarta,JAKARTA SELATAN,MAMPANG PRAPATAN,MAMPANG PRAPATAN,0-4,Laki-Laki,836,
2019,DKI Jakarta,JAKARTA SELATAN,MAMPANG PRAPATAN,BANGKA,0-4,Laki-Laki,969,
2019,DKI Jakarta,JAKARTA SELATAN,MAMPANG PRAPATAN,PELA MAMPANG,0-4,Laki-Laki,1898,
2019,DKI Jakarta,JAKARTA SELATAN,MAMPANG PRAPATAN,TEGAL PARANG,0-4,Laki-Laki,1598,
2019,DKI Jakarta,JAKARTA SELATAN,MAMPANG PRAPATAN,KUNINGAN BARAT,0-4,Laki-Laki,551,
2019,DKI Jakarta,JAKARTA SELATAN,PASAR MINGGU,PASAR MINGGU,0-4,Laki-Laki,1034,
2019,DKI Jakarta,JAKARTA SELATAN,PASAR MINGGU,JATI PADANG,0-4,Laki-Laki,1717,
2019,DKI Jakarta,JAKARTA SELATAN,PASAR MINGGU,CILANDAK TIMUR,0-4,Laki-Laki,1210,
2019,DKI Jakarta,JAKARTA SELATAN,PASAR MINGGU,RAGUNAN,0-4,Laki-Laki,1733,
2019,DKI Jakarta,JAKARTA SELATAN,PASAR MINGGU,PEJATEN TIMUR,0-4,Laki-Laki,2754,
2019,DKI Jakarta,JAKARTA SELATAN,PASAR MINGGU,PEJATEN BARAT,0-4,Laki-Laki,1657,
2019,DKI Jakarta,JAKARTA SELATAN,PASAR MINGGU,KEBAGUSAN,0-4,Laki-Laki,2209,
2019,DKI Jakarta,JAKARTA SELATAN,KEBAYORAN LAMA,KEBAYORAN LAMA UTARA,0-4,Laki-Laki,1887,
2019,DKI Jakarta,JAKARTA SELATAN,KEBAYORAN LAMA,PONDOK PINANG,0-4,Laki-Laki,2365,
2019,DKI Jakarta,JAKARTA SELATAN,KEBAYORAN LAMA,CIPULIR,0-4,Laki-Laki,1825,
2019,DKI Jakarta,JAKARTA SELATAN,KEBAYORAN LAMA,GROGOL UTARA,0-4,Laki-Laki,1850,
2019,DKI Jakarta,JAKARTA SELATAN,KEBAYORAN LAMA,GROGOL SELATAN,0-4,Laki-Laki,1987,
2019,DKI Jakarta,JAKARTA SELATAN,KEBAYORAN LAMA,KEBAYORAN LAMA SELATAN,0-4,Laki-Laki,1655,
2019,DKI Jakarta,JAKARTA SELATAN,CILANDAK,CILANDAK BARAT,0-4,Laki-Laki,1982,
2019,DKI Jakarta,JAKARTA SELATAN,CILANDAK,LEBAK BULUS,0-4,Laki-Laki,1522,
2019,DKI Jakarta,JAKARTA SELATAN,CILANDAK,PONDOK LABU,0-4,Laki-Laki,1881,
2019,DKI Jakarta,JAKARTA SELATAN,CILANDAK,GANDARIA SELATAN,0-4,Laki-Laki,879,
2019,DKI Jakarta,JAKARTA SELATAN,CILANDAK,CIPETE SELATAN,0-4,Laki-Laki,1091,
2019,DKI Jakarta,JAKARTA SELATAN,KEBAYORAN BARU,MELAWAI,0-4,Laki-Laki,89,
2019,DKI Jakarta,JAKARTA SELATAN,KEBAYORAN BARU,GUNUNG,0-4,Laki-Laki,352,
2019,DKI Jakarta,JAKARTA SELATAN,KEBAYORAN BARU,KRAMAT PELA,0-4,Laki-Laki,637,
2019,DKI Jakarta,JAKARTA SELATAN,KEBAYORAN BARU,SELONG,0-4,Laki-Laki,69,
2019,DKI Jakarta,JAKARTA SELATAN,KEBAYORAN BARU,RAWA BARAT,0-4,Laki-Laki,203,
2019,DKI Jakarta,JAKARTA SELATAN,KEBAYORAN BARU,SENAYAN,0-4,Laki-Laki,98,
2019,DKI Jakarta,JAKARTA SELATAN,KEBAYORAN BARU,PULO,0-4,Laki-Laki,146,
2019,DKI Jakarta,JAKARTA SELATAN,KEBAYORAN BARU,PETOGOGAN,0-4,Laki-Laki,416,
2019,DKI Jakarta,JAKARTA SELATAN,KEBAYORAN BARU,GANDARIA UTARA,0-4,Laki-Laki,1569,
2019,DKI Jakarta,JAKARTA SELATAN,KEBAYORAN BARU,CIPETE UTARA,0-4,Laki-Laki,1405,
2019,DKI Jakarta,JAKARTA SELATAN,PANCORAN,PANCORAN,0-4,Laki-Laki,924,
2019,DKI Jakarta,JAKARTA SELATAN,PANCORAN,KALIBATA,0-4,Laki-Laki,1999,
2019,DKI Jakarta,JAKARTA SELATAN,PANCORAN,RAWAJATI,0-4,Laki-Laki,1023,
2019,DKI Jakarta,JAKARTA SELATAN,PANCORAN,DUREN TIGA,0-4,Laki-Laki,1200,
2019,DKI Jakarta,JAKARTA SELATAN,PANCORAN,PENGADEGAN,0-4,Laki-Laki,1001,
2019,DKI Jakarta,JAKARTA SELATAN,PANCORAN,CIKOKO,0-4,Laki-Laki,469,
2019,DKI Jakarta,JAKARTA SELATAN,JAGAKARSA,JAGAKARSA,0-4,Laki-Laki,2881,
2019,DKI Jakarta,JAKARTA SELATAN,JAGAKARSA,SRENGSENG SAWAH,0-4,Laki-Laki,2846,
2019,DKI Jakarta,JAKARTA SELATAN,JAGAKARSA,CIGANJUR,0-4,Laki-Laki,1912,
2019,DKI Jakarta,JAKARTA SELATAN,JAGAKARSA,LENTENG AGUNG,0-4,Laki-Laki,2691,
2019,DKI Jakarta,JAKARTA SELATAN,JAGAKARSA,TANJUNG BARAT,0-4,Laki-Laki,1909,
2019,DKI Jakarta,JAKARTA SELATAN,JAGAKARSA,CIPEDAK,0-4,Laki-Laki,1905,
2019,DKI Jakarta,JAKARTA SELATAN,PESANGGRAHAN,PESANGGRAHAN,0-4,Laki-Laki,1226,
2019,DKI Jakarta,JAKARTA SELATAN,PESANGGRAHAN,BINTARO,0-4,Laki-Laki,2291,
2019,DKI Jakarta,JAKARTA SELATAN,PESANGGRAHAN,PETUKANGAN UTARA,0-4,Laki-Laki,2496,
2019,DKI Jakarta,JAKARTA SELATAN,PESANGGRAHAN,PETUKANGAN SELATAN,0-4,Laki-Laki,1687,
2019,DKI Jakarta,JAKARTA SELATAN,PESANGGRAHAN,ULUJAMI,0-4,Laki-Laki,1968,
2019,DKI Jakarta,JAKARTA TIMUR,MATRAMAN,PISANGAN BARU,0-4,Laki-Laki,1446,
2019,DKI Jakarta,JAKARTA TIMUR,MATRAMAN,UTAN KAYU UTARA,0-4,Laki-Laki,1248,
2019,DKI Jakarta,JAKARTA TIMUR,MATRAMAN,KAYU MANIS,0-4,Laki-Laki,1064,
2019,DKI Jakarta,JAKARTA TIMUR,MATRAMAN,PALMERIAM,0-4,Laki-Laki,848,
2019,DKI Jakarta,JAKARTA TIMUR,MATRAMAN,KEBON MANGGIS,0-4,Laki-Laki,683,
2019,DKI Jakarta,JAKARTA TIMUR,MATRAMAN,UTAN KAYU SELATAN,0-4,Laki-Laki,1396,
2019,DKI Jakarta,JAKARTA TIMUR,PULO GADUNG,PULO GADUNG,0-4,Laki-Laki,1522,
2019,DKI Jakarta,JAKARTA TIMUR,PULO GADUNG,PISANGAN TIMUR,0-4,Laki-Laki,1813,
2019,DKI Jakarta,JAKARTA TIMUR,PULO GADUNG,CIPINANG,0-4,Laki-Laki,1798,
2019,DKI Jakarta,JAKARTA TIMUR,PULO GADUNG,JATINEGARA KAUM,0-4,Laki-Laki,1259,
2019,DKI Jakarta,JAKARTA TIMUR,PULO GADUNG,RAWAMANGUN,0-4,Laki-Laki,1534,
2019,DKI Jakarta,JAKARTA TIMUR,PULO GADUNG,KAYU PUTIH,0-4,Laki-Laki,1686,
2019,DKI Jakarta,JAKARTA TIMUR,PULO GADUNG,JATI,0-4,Laki-Laki,1397,
2019,DKI Jakarta,JAKARTA TIMUR,JATINEGARA,KAMPUNG MELAYU,0-4,Laki-Laki,1273,
2019,DKI Jakarta,JAKARTA TIMUR,JATINEGARA,BIDARA CINA,0-4,Laki-Laki,1599,
2019,DKI Jakarta,JAKARTA TIMUR,JATINEGARA,BALI MESTER,0-4,Laki-Laki,359,
2019,DKI Jakarta,JAKARTA TIMUR,JATINEGARA,RAWA BUNGA,0-4,Laki-Laki,1003,
2019,DKI Jakarta,JAKARTA TIMUR,JATINEGARA,CIPINANG CEMPEDAK,0-4,Laki-Laki,1373,
2019,DKI Jakarta,JAKARTA TIMUR,JATINEGARA,CIPINANG MUARA,0-4,Laki-Laki,2581,
2019,DKI Jakarta,JAKARTA TIMUR,JATINEGARA,CIPINANG BESAR SELATAN,0-4,Laki-Laki,1761,
2019,DKI Jakarta,JAKARTA TIMUR,JATINEGARA,CIPINANG BESAR UTARA,0-4,Laki-Laki,2253,
2019,DKI Jakarta,JAKARTA TIMUR,KRAMATJATI,KRAMATJATI,0-4,Laki-Laki,1641,
2019,DKI Jakarta,JAKARTA TIMUR,KRAMATJATI,TENGAH,0-4,Laki-Laki,2245,
2019,DKI Jakarta,JAKARTA TIMUR,KRAMATJATI,DUKUH,0-4,Laki-Laki,1283,
2019,DKI Jakarta,JAKARTA TIMUR,KRAMATJATI,BATU AMPAR,0-4,Laki-Laki,2391,
2019,DKI Jakarta,JAKARTA TIMUR,KRAMATJATI,BALEKAMBANG,0-4,Laki-Laki,1494,
2019,DKI Jakarta,JAKARTA TIMUR,KRAMATJATI,CILILITAN,0-4,Laki-Laki,1952,
2019,DKI Jakarta,JAKARTA TIMUR,KRAMATJATI,CAWANG,0-4,Laki-Laki,1446,
2019,DKI Jakarta,JAKARTA TIMUR,PASAR REBO,GEDONG,0-4,Laki-Laki,1731,
2019,DKI Jakarta,JAKARTA TIMUR,PASAR REBO,BARU,0-4,Laki-Laki,1220,
2019,DKI Jakarta,JAKARTA TIMUR,PASAR REBO,CIJANTUNG,0-4,Laki-Laki,1963,
2019,DKI Jakarta,JAKARTA TIMUR,PASAR REBO,KALISARI,0-4,Laki-Laki,2091,
2019,DKI Jakarta,JAKARTA TIMUR,PASAR REBO,PEKAYON,0-4,Laki-Laki,2207,
2019,DKI Jakarta,JAKARTA TIMUR,CAKUNG,JATINEGARA,0-4,Laki-Laki,4384,
2019,DKI Jakarta,JAKARTA TIMUR,CAKUNG,RAWA TERATE,0-4,Laki-Laki,1359,
