tahun,nama_provinsi,nama_kabupaten_kota,nama_kecamatan,nama_kelurahan,usia,jenis_kelamin,jumlah_penduduk,
2019,DKI Jakarta,ADM. KEPULAUAN SERIBU,KEPULAUAN SERIBU UTARA,PULAU PANGGANG,0-4,Laki-Laki,342,
2019,DKI Jakarta,ADM. KEPULAUAN SERIBU,KEPULAUAN SERIBU UTARA,PULAU PANGGANG,0-4,Laki-Laki,342,
2019,DKI Jakarta,ADM. KEPULAUAN SERIBU,KEPULAUAN SERIBU UTARA,PULAU KELAPA,0-4,Laki-Laki,329,
2019,DKI Jakarta,ADM. KEPULAUAN SERIBU,KEPULAUAN SERIBU UTARA,PULAU HARAPAN,0-4,Laki-Laki,117,
2019,DKI Jakarta,ADM. KEPULAUAN SERIBU,KEPULAUAN SERIBU SELATAN,PULAU UNTUNG JAWA,0-4,Laki-Laki,124,
2019,DKI Jakarta,ADM. KEPULAUAN SERIBU,KEPULAUAN SERIBU SELATAN,PULAU TIDUNG,0-4,Laki-Laki,309,
2019,DKI Jakarta,ADM. KEPULAUAN SERIBU,KEPULAUAN SERIBU SELATAN,PULAU PARI,0-4,Laki-Laki,195,
2019,DKI Jakarta,JAKARTA PUSAT,GAMBIR,GAMBIR,0-4,Laki-Laki,80,
2019,DKI Jakarta,JAKARTA PUSAT,GAMBIR,CIDENG,0-4,Laki-Laki,593,
2019,DKI Jakarta,JAKARTA PUSAT,GAMBIR,PETOJO UTARA,0-4,Laki-Laki,721,
2019,DKI Jakarta,JAKARTA PUSAT,GAMBIR,PETOJO SELATAN,0-4,Laki-Laki,707,
2019,DKI Jakarta,JAKARTA PUSAT,GAMBIR,KEBON KELAPA,0-4,Laki-Laki,377,
2019,DKI Jakarta,JAKARTA PUSAT,GAMBIR,DURI PULO,0-4,Laki-Laki,922,
2019,DKI Jakarta,JAKARTA PUSAT,SAWAH BESAR,PASAR BARU,0-4,Laki-Laki,415,
2019,DKI Jakarta,JAKARTA PUSAT,SAWAH BESAR,KARANG ANYAR,0-4,Laki-Laki,1133,
2019,DKI Jakarta,JAKARTA PUSAT,SAWAH BESAR,KARTINI,0-4,Laki-Laki,849,
2019,DKI Jakarta,JAKARTA PUSAT,SAWAH BESAR,GUNUNG SAHARI UTARA,0-4,Laki-Laki,576,
2019,DKI Jakarta,JAKARTA PUSAT,SAWAH BESAR,MANGGA DUA SELATAN,0-4,Laki-Laki,1260,
2019,DKI Jakarta,JAKARTA PUSAT,KEMAYORAN,KEMAYORAN,0-4,Laki-Laki,902,
